Total Packets	Time	Avg packet/sec	Avg packet size	Total bytes	Avg bytes/sec	RST Cnt	Src IPs	Dest IPs	Legitimate
295	224.25	1.315	72.129	21278	94.885	0	1	6	0
127	235.84	0.538	667.134	84726	359.245	0	8	15	0
361	79.836	4.522	917.548	331235	4148.946	4	4	4	0
813	188.946	4.303	7898.533	6421507	33985.968	0	3	3	0
166	245.973	0.675	75.904	12600	51.225	2	1	8	0
575	307.114	1.872	121.106	69636	226.743	0	7	8	0
298	168.353	1.77	237.748	70849	420.836	1	8	12	0
52	429.694	0.1	207.5	10808	25	0	4	4	1
16	301.533	0.1	368.5	5893	19	0	3	3	1
74	171.037	0.4	168.5	12502	73	0	4	4	1
696	538.694	1.3	995.5	692996	1286	2	4	4	0
706	3593.499	0.2	604.5	426920	118	0	7	7	0
